nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match,fattore_affidabilita,note_fbref,valore_v4
Fila,Venezia,A,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,9
Karlsson,Bologna,A,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome + squadra,9
Robinson,Monza,A,,,,,,,,,,9,1.0,9,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,9
Mattia Felici,Cagliari,A,24,12,412,2,1,1.34,0.76,3,0,9,0.906,8,True,match su cognome+squadra,0.909,"nome completo -- titolarita' 33%, minuti giocati 12% del possibile",7
Okoro,Venezia,A,,,,,,,,,,7,1.0,7,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,7
Lauberbach,Venezia,A,,,,,,,,,,6,1.0,6,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,6
Paul Mendy,Cagliari,A,18,9,335,2,0,2.39,0.26,1,0,5,0.904,5,True,match su cognome+squadra,0.906,"nome completo -- titolarita' 33%, minuti giocati 10% del possibile",5
Yael Trepy,Cagliari,A,,8,91,1,0,0.6,0.15,0,0,4,0.878,4,True,match su cognome+squadra,0.863,"nome completo -- titolarita' 0%, minuti giocati 3% del possibile",3
Agustín Albarracín,Cagliari,A,19,2,33,0,0,0,0,0,0,5,0.86,4,True,match su cognome+squadra,0.861,"nome completo -- titolarita' 0%, minuti giocati 1% del possibile",3
Rui Modesto,Udinese,A,25,3,119,0,1,0.01,0.44,0,0,5,0.869,4,True,match su cognome+squadra,0.864,"nome completo -- titolarita' 0%, minuti giocati 4% del possibile",3
Antonio Arena,Roma,A,16,2,23,0,0,0.18,0,0,0,3,0.861,3,True,match su cognome+squadra,0.861,"nome completo -- titolarita' 0%, minuti giocati 1% del possibile",3
Diallo,Parma,A,,,,,,,,,,3,1.0,3,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,3
Forson,Monza,A,,,,,,,,,,3,1.0,3,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,3
Loubao,Monza,A,,,,,,,,,,3,1.0,3,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,3
Martins,Monza,A,,,,,,,,,,3,1.0,3,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,3
Barcella,Frosinone,A,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,2
Burnete,Lecce,A,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,2
Cichero,Frosinone,A,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,2
Mattia Mosconi,Inter,A,18,2,27,0,0,0.17,0,0,0,1,0.861,1,True,match su cognome+squadra,0.861,"nome completo -- titolarita' 0%, minuti giocati 1% del possibile",1
Matteo Lavelli,Inter,A,18,1,8,0,0,0,0,0,0,1,0.86,1,True,match su cognome+squadra,0.86,"nome completo -- titolarita' 0%, minuti giocati 0% del possibile",1
Giuseppe Ambrosino,Napoli,A,21,3,38,0,0,0,0,0,0,1,0.86,1,True,match su cognome+squadra,0.861,"nome completo -- titolarita' 0%, minuti giocati 1% del possibile",1
Riccardo Braschi,Fiorentina,A,18,2,105,0,0,0.15,0,0,0,1,0.862,1,True,match su cognome+squadra,0.917,"nome completo -- titolarita' 50%, minuti giocati 3% del possibile",1
Balentien,Milan,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,1
