nome,squadra,ruolo,posizione_raw,nazionalita,eta,presenze,titolarita,minuti,gol,assist,xG,xA,gialli,rossi,punteggio,valore_crediti,quotato,ha_dati_avanzati,dati_incompleti
Sebastiano Esposito,Cagliari,A,FWMF,ITA,23,36,34,2675,7,5,5.74,5.58,6,0,42.69433333333334,59,True,True,False
Francesco Esposito,Inter,A,FW,ITA,20,35,15,1571,7,3,9.86,2.06,1,0,40.18633333333333,56,True,True,False
Christopher Nkunku,Milan,A,FW,FRA,27,32,15,1356,7,3,9.94,1.61,0,0,39.70399999999999,55,True,True,False
Santiago Castro,Bologna,A,FW,ARG,20,35,26,2359,7,2,8.3,2.73,3,0,39.07966666666666,55,True,True,False
Nicolò Zaniolo,Udinese,A,FWMF,ITA,26,32,28,2257,5,6,6.14,5.69,8,0,37.94366666666666,53,True,True,False
Ché Adams,Torino,A,FW,SCO,29,33,19,1893,6,2,6.61,3.21,0,0,33.563,48,True,True,False
Dušan Vlahović,Juventus,A,FW,SRB,25,19,11,968,7,1,7.54,1.25,0,0,32.96133333333333,47,True,True,False
Albert Guðmundsson,Fiorentina,A,FWMF,ISL,28,33,27,2250,5,4,5.8,3.78,4,1,32.728,47,True,True,False
Ange-Yoan Bonny,Inter,A,FW,CIV,21,33,10,1142,5,4,4.58,2.67,1,0,29.051333333333332,43,True,True,False
Gustav Isaksen,Lazio,A,FW,DEN,24,30,18,1593,5,1,5.41,0.88,0,0,25.975,39,True,True,False
Roberto Piccoli,Fiorentina,A,FW,ITA,24,32,16,1672,4,1,6.83,1.59,1,0,25.286666666666665,38,True,True,False
Matteo Cancellieri,Lazio,A,FW,ITA,23,30,21,1725,4,2,5.22,1.92,6,0,25.040999999999997,37,True,True,False
Gennaro Borrelli,Cagliari,A,FW,ITA,25,27,13,1275,5,1,4.58,0.87,4,0,23.993,36,True,True,False
Pedro,Lazio,A,FWMF,ESP,38,29,9,982,5,2,2.25,2.81,4,0,23.072666666666667,35,True,True,False
Mattia Zaccagni,Lazio,A,FW,ITA,30,26,26,2104,3,0,6.38,2.79,6,1,21.236666666666665,33,True,True,False
Tijjani Noslin,Lazio,A,FW,NED,26,29,9,1148,4,2,4.32,2.39,6,1,21.681333333333335,33,True,True,False
