nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match
Kenneth Taylor,Lazio,C,23,17,1394,3,2,2.09,1.08,5,0,34,0.986,34,True,match su cognome+squadra
Mastantuono,Fiorentina,C,,,,,,,,,,34,1.0,34,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Frank Anguissa,Napoli,C,29,18,1258,4,1,2.55,1.55,1,0,33,0.987,33,True,match su cognome+squadra
Mario Pašalić,Atalanta,C,30,33,1936,3,4,3.45,6.25,3,0,29,1.09,32,True,match su cognome+squadra
Bryan Cristante,Roma,C,30,37,3094,2,1,2.35,2.28,6,0,32,1.01,32,True,match su cognome+squadra
Jurgen Ekkelenkamp,Udinese,C,25,31,2186,5,3,4.73,2.56,1,0,28,1.091,31,True,match su cognome+squadra
Ruben Loftus-Cheek,Milan,C,29,28,1133,3,1,4.14,1.04,2,0,32,0.973,31,True,match su cognome+squadra
Youssouf Fofana,Milan,C,26,33,2203,2,3,4.59,3.64,4,0,29,1.052,30,True,match su cognome+squadra
Adrian Bernabe,Parma,C,24,32,2470,3,1,2.62,4.64,0,0,29,1.033,30,True,match su cognome+squadra
Cesare Casadei,Torino,C,22,33,1997,6,0,4.65,1.81,5,0,28,1.032,29,True,match su cognome+squadra
Petar Sučić,Inter,C,21,34,1765,2,2,2.18,4.04,5,0,28,1.005,28,True,match su cognome+squadra
Niccolò Pisilli,Roma,C,20,25,1295,2,4,2.27,2.22,3,0,28,1.015,28,True,match su cognome+squadra
Nicola Zalewski,Atalanta,C,23,33,1897,2,4,3.14,5.14,3,0,24,1.064,26,True,match su cognome+squadra
Marten de Roon,Atalanta,C,34,34,2691,1,2,0.82,1.59,8,1,27,0.977,26,True,match su cognome+squadra
Lazar Samardzic,Atalanta,C,23,26,1030,2,1,2.78,2.38,1,0,27,0.957,26,True,match su cognome+squadra
Cristian Volpato,Sassuolo,C,21,24,1064,2,4,1.75,2.9,4,0,25,1.01,25,True,match su cognome+squadra
Jens Odgaard,Bologna,C,26,26,1378,5,1,2.73,0.94,1,0,25,1.003,25,True,match su cognome+squadra
Stanislav Lobotka,Napoli,C,30,32,2431,1,1,0.41,1.06,3,0,26,0.954,25,True,match su cognome+squadra
Messias,Genoa,C,,,,,,,,,,25,1.0,25,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Pierotti,Lecce,C,,,,,,,,,,25,1.0,25,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
